Id,PlayerType,MonthType,MonthTypeV,W,L,ERA,G,GS,SV,IP,BF,H,R,ER,HR,BB,SO,WHIP,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
453568,Batter,First Inning,0,,,,,,,,,,,,,,,,123,115,13,27,5,2,4,13,4,26,1,0,1,.235,.264,.417,.681
453568,Batter,Third Inning,2,,,,,,,,,,,,,,,,85,78,9,26,2,1,3,14,5,16,2,0,1,.333,.376,.500,.876
453568,Batter,Eighth Inning,7,,,,,,,,,,,,,,,,68,63,5,15,1,1,2,4,2,13,0,0,2,.238,.284,.381,.665
628711,Pitcher,Fourth Inning,3,,,1.86,29,,,29.0,103,13,6,6,4,3,25,0.55,,,,,,,,,,,,,,,,,
628711,Pitcher,Seventh Inning,6,,,4.50,6,,,4.0,18,7,2,2,2,0,3,1.75,,,,,,,,,,,,,,,,,
628711,Pitcher,Second Inning,1,,,1.74,31,,,31.0,115,20,6,6,1,5,29,0.81,,,,,,,,,,,,,,,,,
628711,Pitcher,Fifth Inning,4,,,0.62,29,,,29.0,101,13,2,2,2,2,22,0.52,,,,,,,,,,,,,,,,,
628711,Pitcher,Sixth Inning,5,,,2.45,24,,,22.0,98,26,6,6,2,8,24,1.55,,,,,,,,,,,,,,,,,
628711,Pitcher,First Inning,0,,,2.90,31,,,31.0,132,23,18,10,6,15,30,1.23,,,,,,,,,,,,,,,,,
628711,Pitcher,Third Inning,2,,,3.10,30,,,29.0,122,25,11,10,6,8,33,1.14,,,,,,,,,,,,,,,,,
665161,Batter,Extra Innings,9,,,,,,,,,,,,,,,,7,7,4,3,0,0,1,4,0,0,0,0,0,.429,.429,.857,1.286
665161,Batter,Ninth Inning,8,,,,,,,,,,,,,,,,51,49,1,10,1,0,1,3,2,16,0,0,0,.204,.235,.286,.521
665161,Batter,Fourth Inning,3,,,,,,,,,,,,,,,,66,64,8,16,2,0,2,7,2,16,0,0,0,.250,.273,.375,.648
665161,Batter,Seventh Inning,6,,,,,,,,,,,,,,,,56,54,6,14,1,1,2,4,1,14,2,0,0,.259,.268,.426,.694
665161,Batter,Second Inning,1,,,,,,,,,,,,,,,,71,66,7,19,4,1,2,7,1,21,1,1,1,.288,.300,.470,.770
665161,Batter,Fifth Inning,4,,,,,,,,,,,,,,,,60,58,10,19,3,0,5,9,1,12,2,0,0,.328,.339,.638,.977
665161,Batter,Sixth Inning,5,,,,,,,,,,,,,,,,66,58,8,12,2,0,3,10,6,15,0,0,1,.207,.288,.397,.685
665161,Batter,First Inning,0,,,,,,,,,,,,,,,,60,58,9,13,2,0,4,7,1,16,3,1,0,.224,.237,.466,.703
665161,Batter,Third Inning,2,,,,,,,,,,,,,,,,62,56,9,12,2,0,1,7,3,8,1,0,2,.214,.279,.304,.583
665161,Batter,Eighth Inning,7,,,,,,,,,,,,,,,,59,51,10,14,3,0,1,5,5,17,2,0,2,.275,.356,.392,.748
643396,Batter,Extra Innings,9,,,,,,,,,,,,,,,,10,8,4,3,0,0,0,2,1,1,1,0,0,.375,.444,.375,.819
643396,Batter,Ninth Inning,8,,,,,,,,,,,,,,,,51,45,6,12,1,0,0,5,3,7,4,2,1,.267,.320,.289,.609
