savant_id,schedule_id,savant_uri,schedule_url,savant_name,schedule_name,savant_team,schedule_team,official_name,full_name
41,518626,Donaldson_Josh,https://www.mlb.com/player/518626,Josh Donaldson,Donaldson,New York Yankees,New York Yankees,Josh Donaldson,Joshua Adam Donaldson
42,592273,Drury_Brandon,https://www.mlb.com/player/592273,Brandon Drury,Drury,San Diego Padres,San Diego Padres,Brandon Drury,Brandon S. Drury
43,669242,Edman_Tommy,https://www.mlb.com/player/669242,Tommy Edman,Edman,St. Louis Cardinals,St. Louis Cardinals,Tommy Edman,Thomas Hyunsu Edman
44,500871,Escobar_Eduardo,https://www.mlb.com/player/500871,Eduardo Escobar,Escobar,New York Mets,New York Mets,Eduardo Escobar,Eduardo Jose Escobar
45,642731,Estrada_Thairo,https://www.mlb.com/player/642731,Thairo Estrada,Estrada,San Francisco Giants,San Francisco Giants,Thairo Estrada,Thairo Jose Estrada
46,571657,Farmer_Kyle,https://www.mlb.com/player/571657,Kyle Farmer,Farmer K,Cincinnati Reds,Cincinnati Reds,Kyle Farmer,James Kyle Farmer
47,527038,Flores_Wilmer,https://www.mlb.com/player/527038,Wilmer Flores,Flores,San Francisco Giants,San Francisco Giants,Wilmer Flores,Wilmer Alejandro Flores
48,664034,France_Ty,https://www.mlb.com/player/664034,Ty France,France,Seattle Mariners,Seattle Mariners,Ty France,Tyler Lawrence France
49,624428,Frazier_Adam,https://www.mlb.com/player/624428,Adam Frazier,Frazier,Seattle Mariners,Seattle Mariners,Adam Frazier,Adam Timothy Frazier
50,607536,Freeland_Kyle,https://www.mlb.com/player/607536,Kyle Freeland,Freeland,Colorado Rockies,Colorado Rockies,Kyle Freeland,Kyle Richard Freeland
51,518692,Freeman_Freddie,https://www.mlb.com/player/518692,Freddie Freeman,Freeman F,Los Angeles Dodgers,Los Angeles Dodgers,Freddie Freeman,Frederick Charles Freeman
52,608331,Fried_Max,https://www.mlb.com/player/608331,Max Fried,Fried,Atlanta Braves,Atlanta Braves,Max Fried,Max Dorian Fried
53,668678,Gallen_Zac,https://www.mlb.com/player/668678,Zac Gallen,Gallen,Arizona Diamondbacks,Arizona Diamondbacks,Zac Gallen,Zachary Peter Gallen
54,666969,Garcia_Adolis,https://www.mlb.com/player/666969,Adolis Garcia,Garcia Ad,Texas Rangers,Texas Rangers,Adolis Garcia,Jose Adolis Garcia
